id,product_id,name,value,price_modifier,stock,sku
514c7e46-20e8-477c-84e4-d41985a33bd2,b504b64f-415b-47fa-930c-c7ec2eb89c1d,Weight,"5/5mg, 10/10mg",0.00,0,
53df5aeb-fe92-47da-a727-c1ba46ef62cd,8697cfe5-41f0-4321-9c6b-7ec731c03702,Dosage,40mg × 10 vials,110.00,100,
59381c24-c4db-4962-a215-85f16c03c907,18bc7304-f69b-4e08-9440-a8ff10b1e4c0,Strength,"553mg/ml, 10ml × 10 vials",0.00,100,FATBLASTERLC526-553MGML10ML10VIALS
59b37d8f-39df-460b-8ef5-cfd785d8e736,1b7600b5-b49c-40c5-b02a-5e8a4b8c7b02,Weight,10mg,0.00,0,
59f8cfb0-4c37-4310-8f89-4e8a49f9b0ab,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,15mg × 10 vials,30.00,100,
5a2b8669-b279-423c-8c1a-9ef48a0486a3,85af1c22-db75-4f11-9dfc-0a4b5b720475,Strength,75 IU × 10 vials,0.00,100,HMG-75IU10VIALS
5ab1857c-b15c-45f9-a4ac-51a45b19b781,b14dd91e-541e-440c-9027-38e1b50360ad,Weight,15mg,0.00,0,
5b08e2eb-5cbc-429a-862d-6694b9e13b6b,b14dd91e-541e-440c-9027-38e1b50360ad,Weight,20mg,0.00,0,
5ec1d68f-3452-412e-b64b-5b49f0d98fcd,ad15fdb9-4a86-41de-a6c3-b9d7b318b299,Weight,10mg,0.00,0,
5fcf759a-5d5f-4582-a62c-bdd4bad7ce22,dbb0eaa3-9064-401a-8dbb-02054e7bec4a,Weight,"5mg, 10mg",0.00,0,
625b32ee-5048-47c6-b167-1449990f41fa,24e430bb-8e82-46c3-b302-5198a2137e73,Weight,"5mg, 10mg",0.00,0,
627eeee5-eb4e-4958-9c02-5a57bf67bcf4,a8c4f9d7-4ee5-437a-9d43-07781025f9d5,weight,5mg,0.00,0,
62ed01b3-eb51-4db3-9bb7-904ed420ca89,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,100mg × 10 vials,215.00,100,
68b10a74-fbf7-4219-bd81-0a1244407d39,9d1b132c-5048-42b5-af48-b7bf30d713eb,Dosage,10mg × 10 vials,97.00,100,
6af52902-5e2c-49aa-9ba0-da6304d76505,4e26cf4d-068b-41df-92f8-b7a4c8c82a3e,weight,10/50/10/10mg,0.00,0,
6ba3f737-e962-44af-8c4d-8c6657b34dd9,a93d27fc-0c11-4c0f-a4f9-5e130b45ad2c,Weight,30mg,0.00,0,
6c72fcab-65bf-49e7-b9ac-26120a7e3e26,6c65b6e2-db2b-4886-9998-e824842a4ce7,weight,10mg/cap,0.00,0,
6e3531ee-e1a1-459d-bc58-12e075b3777c,101ab42b-4d67-4512-9b28-a7af9e41e8b5,Strength,5mg × 10 vials,28.00,100,HGHFRAGMENT176191-5MG10VIALS
702116b1-a126-4067-bd0b-84e70e8ec534,73e21165-85a7-4579-af66-19ed40ca1c41,weight,"12.5mg/cap, 25mg/cap",0.00,0,
704323ff-b9c9-46b0-a0f6-c99858e96baa,ace29784-310d-4675-88c4-87967b2d2afa,Dosage,10mg × 10 vials,16.00,100,
72adf8de-7121-4fb4-ad2d-e7fdf4079a5b,8724211c-55c5-4318-a79a-0f892f42cc0c,Strength,10mg × 10 vials,0.00,100,SS31-10MG10VIALS
72ce4039-c427-4724-bdb9-e7680ca4ff57,209d9686-aad9-4825-bf06-6ead119314aa,weight,20mg,0.00,0,
72e99549-49e0-4bfa-8965-87125222c739,d30ecc7c-ba30-4d84-9e7b-6c202c2a7346,Weight,"5mg, 10mg",0.00,0,
731b5e82-c832-4736-bf80-0bf094c31eb9,963b2f48-f801-4690-b931-5cad40cb15ed,Weight,10mg,0.00,0,
7331f308-f597-4195-b66c-948e408dd34b,42179512-e7d3-42ca-8221-6c4669674844,weight,1000mcg/cap,0.00,0,
73a93bea-b7b3-456c-bc55-a9d17fad9808,30814c98-d858-45a8-9036-1f21663d54ac,Strength,30mg × 10 vials,56.00,100,SEMAGLUTIDE-30MG10VIALS
